system size,absolute error (A),relative error (A),absolute error (B),relative error (B),conditioning
2,4.180683577104105e-16,1.1114124960987992e-15,1.394717674685353e-16,5.087123389594742e-16,6.251756126106725
4,2.7616797737550767e-16,7.825821944977942e-16,6.224187831804784e-16,2.034755183886297e-15,15.704152220896322
6,1.6042722705833511e-15,1.7989045628326824e-14,6.250555628639631e-15,1.8735107155605746e-14,32.27909321349249
9,3.858025010572419e-15,6.9274053836579026e-15,2.1965762542208725e-14,4.861501468555359e-14,145.71100398985146
13,1.9984014443252818e-15,1.2343131257372407e-14,1.5104029138512943e-13,1.635789767129576e-11,153.48850102367194
20,5.856426454897701e-15,6.658831115308297e-14,3.230469225457e-11,1.2773310175155736e-10,355.8991432546661
29,6.206146707654625e-15,2.2225251446710875e-12,2.60134953466995e-07,5.705859125619575e-06,597.9958034671836
43,9.098277686803158e-15,2.920569545670316e-13,0.0031034245564418006,0.0068521254829454255,674.8525424651446
64,3.3706371027619755e-14,1.5243431125994726e-12,0.15274550731709136,4.948677279592775,913.4463222643069
